	ID006_1	ID007_1	ID008_1	ID009_1	ID010_1	ID011_1	ID012_1	ID013_1	ID014_1	ID015_1	ID016_1	ID017_1	ID018_1	ID019_1	ID020_1	ID021_1	ID022_1	ID023_1	ID024_1	ID025_1	ID026_1	ID027_1	ID028_1	ID029_1	ID030_1	ID031_1	ID032_1	ID033_1	ID034_1	ID035_1	ID036_1	NK02_1	NK04_1	NK01_1	NK03_1	ID037_1	ID038_1	ID039_1	ID040_1	ID041_1	ID042_1	ID043_1	ID044_1	ID045_1	ID046_1	ID047_1	ID048_1	ID049_1	ID050_1	ID051_1	ID052_1	ID053_1	ID054_1	ID055_1	ID056_1	ID057_1	ID058_1	ID059_1	ID060_1	ID061_1	ID062_1	ID063_1	ID064_1	ID065_1	ID066_1	ID067_1	ID068_1	ID069_1	NK06_1	NK05_1	ID006_2	ID007_2	ID008_2	ID009_2	ID010_2	ID011_2	ID012_2	ID013_2	ID014_2	ID015_2	ID016_2	ID017_2	ID018_2	ID019_2	ID020_2	ID021_2	ID022_2	ID023_2	ID024_2	ID025_2	ID026_2	ID027_2	ID028_2	ID029_2	ID030_2	ID031_2	ID032_2	ID033_2	ID034_2	ID035_2	ID036_2	NK02_2	NK03_2	NK04_2	ID038_2	ID039_2	ID040_2	ID041_2	ID043_2	ID044_2	ID045_2	ID046_2	ID047_2	ID048_2	ID049_2	ID050_2	ID051_2	ID052_2	ID053_2	ID054_2	ID055_2	ID056_2	ID058_2	ID059_2	ID060_2	ID061_2	ID062_2	ID063_2	ID064_2	ID065_2	ID066_2	ID067_2	ID068_2	ID069_2	NK05_2	NK06_2	ID037_2	ID057_2	NK08_2	ID006_3	ID007_3	ID008_3	ID009_3	ID010_3	ID011_3	ID012_3	ID013_3	ID014_3	ID015_3	ID016_3	ID017_3	ID018_3	ID019_3	ID020_3	ID022_3	ID023_3	ID024_3	ID025_3	ID026_3	ID027_3	ID028_3	ID029_3	ID030_3	ID031_3	ID032_3	ID033_3	ID034_3	ID035_3	ID036_3	NK02_3	NK03_3	NK04_3	ID037_3	ID038_3	ID039_3	ID040_3	ID041_3	ID042_3	ID043_3	ID044_3	ID045_3	ID046_3	ID047_3	ID048_3	ID049_3	ID050_3	ID051_3	ID052_3	ID053_3	ID054_3	ID055_3	ID056_3	ID057_3	ID058_3	ID059_3	ID060_3	ID061_3	ID062_3	ID063_3	ID064_3	ID065_3	ID066_3	ID067_3	ID068_3	ID069_3	NK05_3	NK08_3	ID006_4	ID007_4	ID008_4	ID009_4	ID010_4	ID011_4	ID012_4	ID013_4	ID014_4	ID015_4	ID016_4	ID017_4	ID018_4	ID019_4	ID020_4	ID021_4	ID022_4	ID023_4	ID024_4	ID025_4	ID026_4	ID027_4	ID028_4	ID029_4	ID030_4	ID031_4	ID032_4	ID033_4	ID034_4	ID035_4	ID036_4	NK02_4	NK03_4	NK04_4	NK01_4	ID037_4	ID038_4	ID039_4	ID040_4	ID041_4	ID042_4	ID043_4	ID044_4	ID045_4	ID046_4	ID047_4	ID048_4	ID049_4	ID050_4	ID051_4	ID052_4	ID053_4	ID054_4	ID055_4	ID056_4	ID057_4	ID058_4	ID059_4	ID060_4	ID061_4	ID062_4	ID063_4	ID064_4	ID065_4	ID066_4	ID067_4	ID068_4	ID069_4	NK05_4	NK06_4
seq1	22180	207034	189260	2801	53697	16485	1122	2611	220638	117861	328	1462	99	189	0	0	125	51	202024	24453	9850	193	2732	9880	50859	4984	17956	1670	53	40	60989	0	0	0	0	0	11319	8808	10328	1870	294	20	30907	757	50736	65335	208	0	102498	137367	74187	27318	304888	73736	59473	41400	7883	285	51944	54002	26	218	0	5706	1093	7597	0	0	0	0	14709	166579	126623	3653	36602	0	1959	6516	166942	140013	212	3156	89	136	28	0	72	56	207639	14265	6978	263	1809	14147	38196	6792	8269	1278	37	39	47939	0	0	0	11870	11778	19800	3170	37	44978	513	38247	97074	564	0	123654	188867	77253	28651	244904	27944	63028	12829	719	46984	45040	65	577	0	13343	4736	16164	5	15	0	0	0	61304	0	23182	164855	139051	1525	38941	41964	0	8891	194366	103645	284	1574	109	156	11	202	46	276394	12141	7053	202	1650	13764	52982	3636	14901	1110	40	21	49572	0	0	0	0	20199	7802	14779	1758	342	10	25361	352	61837	67162	370	11	98044	141214	65142	20313	182855	65897	47630	51961	8399	530	39156	39605	52	369	0	7746	2789	11259	0	23	0	0	19533	115628	88813	3096	27830	39044	1585	5752	137481	106735	274	1522	98	182	19	0	144	73	35584	17389	8301	691	2486	12007	31663	3446	13236	2565	70	59	39230	0	0	0	0	0	18042	0	12452	3235	343	45	31341	485	53504	55593	544	30	69604	109586	57661	25221	169003	57017	33859	36047	8990	1088	38311	45893	33	500	0	8456	3817	15162	0	15	0	0
seq2	22646	207327	189587	2707	55084	17031	1082	2638	219290	115873	317	1402	102	200	0	0	138	26	200913	24144	10112	225	2558	9889	47560	4989	17560	1715	76	39	59903	0	0	0	0	0	11263	8862	10223	1789	269	16	30030	729	50078	66180	194	0	103227	136693	73223	26566	293871	76749	57099	41167	7801	305	51608	53490	36	195	0	5699	1106	7424	0	0	0	0	14785	173343	127642	3361	37769	0	1848	6585	168383	138901	234	3200	95	146	29	0	69	55	208686	14174	7358	279	1766	13880	36146	6843	8066	1251	38	50	47777	0	0	0	12086	11855	19850	2802	46	44648	522	38365	100205	471	5	124386	189984	77636	28523	238069	29836	61066	12933	715	46696	45461	47	497	0	12935	4873	16889	3	10	0	0	0	0	0	23224	170040	142542	1613	41801	42962	0	8627	196082	102145	349	1689	115	164	10	220	41	276632	12414	7191	228	1644	14538	49422	3591	15364	1068	46	19	49924	0	0	0	0	20670	7907	15121	1603	311	8	24941	282	63785	69555	333	9	99724	140746	65385	20357	179219	71057	46072	52652	8609	500	37780	39916	27	396	0	7510	2791	11263	0	14	0	0	19378	119063	90471	3084	28385	38939	1645	5998	137563	104775	315	1584	87	199	10	0	141	79	35553	17227	8488	651	2233	12526	29256	3426	13371	2540	65	61	38578	0	0	0	0	0	18001	9985	12732	2986	312	46	30988	530	54384	56969	603	26	70116	110658	57556	24599	163754	58444	32750	35740	9352	1037	37713	46478	28	458	0	8394	3924	15617	0	19	0	0
seq3	2683	89943	674	29	0	859	2088	1991	94	628	115	2548	31	8401	0	13002	88	150	89	445	0	103	69	759	5207	1519	159	104	8915	31832	5152	0	0	0	0	0	6668	4949	63693	73912	45888	292846	6535	1139	11506	143665	42	11	1644	11789	193	16455	36257	180970	639	6774	29	0	13	593	0	322	0	156	0	29	0	3	0	0	1569	74887	599	344	0	0	3679	4899	53	711	128	3354	0	6341	0	7210	141	132	112	214	4	0	37	831	3138	1908	32	87	5554	20159	3006	0	0	0	7046	17903	95758	106548	400140	8255	512	8029	208616	209	7	2107	14552	404	19203	27891	76617	739	448	883	4	1488	4	526	0	195	0	72	0	0	0	0	0	0	0	1900	70044	603	58	0	1329	0	8081	65	545	69	1697	22	3834	0	226	130	172	197	28	78	30	481	6521	1129	74	97	8031	22382	3990	0	0	0	0	10082	8728	68136	71600	44927	284515	5304	369	15028	166785	179	17	1305	9832	413	16509	29347	178013	449	4672	0	606	6	566	5	194	0	190	16	26	0	0	0	0	1386	48411	470	0	0	1908	2311	5071	38	823	133	1634	0	4813	0	4217	174	233	30	115	29	0	46	346	3424	1093	56	72	7363	16122	3148	0	0	0	0	0	9201	9546	48663	66342	34397	223351	5817	1903	11271	114732	220	52	1169	11852	417	10508	20215	113328	504	6262	0	0	0	814	12	267	0	284	14	132	0	0	0	0
seq4	2567	87612	661	42	0	776	2096	1943	80	673	97	2258	0	8258	11	12899	104	155	67	418	0	111	50	687	5181	1527	149	96	9184	31841	5030	0	0	0	0	0	6657	5033	62310	73849	46668	293324	6163	1109	11415	142242	50	12	1599	11759	233	15737	37655	177248	678	6974	39	0	0	537	0	253	0	145	0	52	0	0	0	0	1520	72493	572	359	0	0	3557	4860	58	675	120	3309	27	6133	0	7038	129	143	143	208	15	0	47	860	3029	1876	32	104	5377	19792	2866	0	0	0	6765	17797	93896	105187	400765	7965	497	7709	207265	208	12	2133	14228	366	19141	28534	71680	714	406	770	0	1496	0	481	0	222	0	60	0	0	0	0	0	9255	0	1810	67153	547	72	0	1198	0	7993	57	477	73	1647	43	3439	0	238	135	202	145	21	64	48	465	6425	1103	93	87	8019	22462	3843	0	0	0	0	9821	8486	65748	71558	44730	276450	5116	372	14558	163948	175	24	1324	9758	397	16451	30304	162722	438	4877	0	557	6	471	7	203	0	172	9	25	0	0	0	0	1352	47502	445	0	0	1822	2112	4918	56	796	135	1599	0	4888	0	4167	158	265	18	116	20	0	57	310	3411	1189	72	87	7319	16288	3045	0	0	0	0	0	9115	0	47411	65642	34629	221402	5769	1789	10836	112645	206	71	1065	11667	315	10457	20820	110840	573	6267	0	0	0	837	11	278	0	293	11	132	0	0	0	0
seq5	0	112	8072	1601	6883	1484	1660	1822	12195	31934	0	445	780	926	1157	3600	166	621	64057	95587	64705	24	5155	28109	1476	742	3242	4442	0	0	1463	0	0	0	0	0	573	413	0	0	0	0	21912	58821	18	0	111	0	2630	2578	6966	17333	212	3141	81605	35183	4204	138	107	59	0	0	0	0	0	0	0	137	0	0	0	47	6017	183	5869	0	2768	2628	10803	38831	0	0	818	559	3098	123	174	698	73536	61257	44891	59	4251	51108	994	1178	1486	3596	0	0	1511	0	0	0	555	2002	86	0	0	27967	78413	47	0	382	0	3048	3605	9157	30372	162	1612	97785	1102	0	230	0	0	0	0	0	0	42	87	189	0	0	0	0	0	0	61	10557	422	5055	7598	0	1017	11407	30908	0	0	954	569	4522	229	385	99479	87772	64338	172	3712	37897	1745	620	1038	3492	0	0	2200	0	0	0	0	876	160	111	0	40	0	19564	72461	73	0	193	0	3488	2718	7688	23714	226	3584	81814	43855	634	0	131	403	0	0	0	0	0	56	0	35	0	0	0	39	3988	702	3108	3447	2089	6373	7557	26140	0	246	520	527	721	1931	137	503	12017	53322	48910	152	3274	29499	878	501	1656	4428	0	0	1547	0	0	0	0	0	811	95	39	0	43	0	18271	46751	0	0	132	0	2549	3096	6162	15831	135	2268	43099	25524	2329	0	123	479	0	0	0	0	0	0	130	0	0	0
seq6	0	138	8252	1671	6719	1536	1619	1877	11646	31600	0	452	721	947	1029	3604	206	631	62959	96281	61975	31	5022	27491	1436	914	3227	4397	0	0	1572	0	0	0	0	0	513	463	0	0	0	0	21951	54147	27	0	135	0	2482	2600	6844	16632	210	3049	81611	34997	3996	151	111	82	0	0	0	0	0	0	31	148	0	0	0	85	5926	155	5301	0	2671	2604	10437	38313	37	0	713	600	2896	98	242	711	70991	60649	42743	59	4059	49797	983	1251	1544	3672	0	0	1545	0	0	0	557	1974	117	0	0	28172	72492	50	0	414	0	2879	3571	9084	29023	170	1512	96146	1147	0	223	60	0	0	0	0	0	53	103	198	0	0	0	52086	0	0	53	10078	477	4505	7580	0	1009	10788	29822	0	0	1002	433	4258	307	417	95807	86091	61864	184	3377	34890	1639	635	1142	3430	0	0	2217	0	0	0	0	807	194	163	0	27	0	19089	67384	99	0	163	0	3083	2505	7650	22912	279	3237	81416	43707	663	0	85	397	0	0	0	0	0	68	0	0	0	0	0	54	3856	654	3018	3316	1938	6206	7094	25105	0	272	503	529	625	1960	132	504	11360	52864	46471	162	3062	27789	853	593	1689	4277	0	0	1473	0	0	0	0	0	859	0	55	0	60	0	18428	43317	0	0	123	12	2443	2973	5942	15603	165	2275	42937	25353	2200	0	156	534	0	0	0	0	0	0	127	0	0	0
seq7	900	0	10068	1670	3489	37	0	0	439	68	0	0	1042	97	345	0	244086	29354	52	0	2635	0	1305	0	562	0	13316	72	50677	3464	358	0	0	0	0	0	1842	0	6	0	0	0	49980	350	0	0	0	0	6608	359	14944	3211	3734	0	9428	417	0	0	2527	468	0	0	0	16802	5067	10081	3354	6499	0	0	515	35	10694	135	3077	0	0	0	379	7	0	0	1007	40	235	125	185882	20449	63	0	2377	0	791	0	313	0	7067	79	52047	2805	534	0	0	0	1338	0	3	0	0	60903	308	0	0	0	0	7406	540	15288	2567	2193	0	9772	0	0	2253	55	0	52	8	28601	11949	17886	9754	8343	0	0	0	719	0	1567	171	12776	1218	2200	0	0	0	413	9	0	0	1250	155	146	169548	25562	91	0	3088	0	1139	163	1457	0	14076	104	66584	1809	864	0	0	0	0	2804	6	0	0	0	0	40329	0	0	0	0	0	6472	837	14043	174	3295	0	9995	309	0	0	2487	75	0	0	4	19564	9439	11326	9654	8660	0	0	436	114	4824	2397	1321	82	0	0	263	3	0	0	618	88	340	0	112470	14383	13	0	1734	0	696	16	346	0	6886	80	33706	2467	448	0	0	0	0	0	2091	0	0	0	0	0	33472	313	0	0	12	0	3571	333	8328	2021	1568	17	4648	406	3	0	1734	359	0	0	3	12591	6854	8322	7335	4883	0	0
seq8	839	0	9429	1734	3012	32	0	0	447	59	0	0	1006	76	309	0	249696	29356	39	0	2386	0	1262	0	521	0	12118	70	47292	3457	381	0	0	0	0	0	1776	0	0	0	0	0	49333	307	0	0	0	0	6274	446	14184	3066	3350	0	8352	339	0	0	2285	436	0	0	4	16188	4974	9431	3518	6176	0	0	451	30	10195	73	2706	0	0	0	328	3	0	0	948	50	216	120	190134	21213	35	0	1980	0	774	0	234	0	6841	58	50072	2860	416	0	0	0	1138	7	0	0	0	59007	301	0	0	0	0	6922	528	14278	2436	1799	0	8665	0	0	1921	63	0	45	7	26361	11872	16896	9393	8131	0	0	0	0	0	1390	126	12575	1162	1981	0	0	0	327	7	0	0	1220	150	172	170881	26495	66	0	2708	0	1110	173	1178	0	12996	103	64578	1752	649	0	0	0	0	2668	10	0	0	0	0	39872	0	0	0	0	0	6004	806	13221	179	2897	0	8875	300	0	0	2184	52	0	0	3	18651	9512	11502	9880	8402	0	0	326	122	4532	2296	1242	84	0	0	252	0	0	0	598	74	397	0	114757	14418	9	0	1429	0	666	11	336	0	6557	96	31694	2558	348	0	0	0	0	0	1810	0	0	0	0	0	32290	303	0	0	12	0	3404	361	7623	1789	1367	13	3969	436	0	0	1425	275	0	0	0	12086	6666	8018	7316	4842	0	0
seq9	992	403	25677	104	41	4	0	0	0	4	0	8	53378	23870	12778	1384	22	52	0	0	99	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	260978	39653	0	0	0	0	25	0	0	0	0	0	0	0	13831	2745	171	37	1493	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	200	14757	282	11	0	0	0	0	0	0	0	42490	16109	7630	1299	19	48	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	155653	53676	0	0	7	22	0	0	0	0	0	0	0	13532	4870	156	10	1405	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1088	250	19319	64	54	0	0	0	0	0	0	0	32940	9385	5025	25	53	0	0	97	0	0	0	10	0	0	0	0	0	0	0	0	0	0	223975	40472	0	0	0	0	26	0	0	0	0	0	0	0	11096	3250	273	70	1016	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	836	235	12378	95	42	8	0	0	0	0	6	0	33950	12412	7027	2320	11	69	0	0	38	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	196245	31403	0	0	9	0	21	0	0	0	0	0	0	0	10785	3117	142	34	1072	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq10	1040	370	24723	99	63	4	0	0	0	0	0	9	49890	23646	12861	1385	18	56	0	0	102	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	261391	38687	0	0	0	0	27	0	0	0	4	0	0	0	13779	2726	193	26	1505	131	0	0	0	0	0	0	0	9	0	0	0	0	0	0	312	205	14212	320	20	0	0	0	0	0	0	0	40132	15543	7625	1225	18	75	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	152678	52820	0	0	9	38	0	0	0	0	0	0	0	12755	4709	216	6	1370	0	0	0	0	0	0	0	0	0	4	0	14	0	0	0	160	0	1140	259	17370	72	34	0	0	0	0	0	0	0	30822	9275	5098	29	68	0	0	64	0	0	0	27	0	0	0	3	0	0	0	0	0	0	218162	39733	6	0	0	0	32	0	0	0	0	0	0	0	10568	3173	246	89	1059	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	826	246	11906	113	55	14	0	0	8	0	8	0	32528	11784	7254	2228	8	82	0	0	38	0	0	0	4	0	0	0	0	0	13	0	0	0	0	0	196091	0	0	0	6	0	21	0	0	0	0	0	0	0	10528	3215	157	30	1085	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
