Abacarus hystrix
Abax parallelepipedus
Ablabesmyia longistyla
Ablabesmyia monilis
Acanthamoeba castellanii
Acanthamoeba hatchetti
Acanthocyclops americanus
Acanthocyclops robustus
Acanthocyclops vernalis
Acer negundo
Achaeta camerani
Achlya ambisexualis
Achlya americana
Achlya bisexualis
Achlya caroliniana
Achlya catenulata
Achlya colorata
Achlya conspicua
Achlya dubia
Achlya flagellata
Achlya heterosexualis
Achlya papillosa
Achlya racemosa
Achlya radiosa
Achlya recurva
Achlya sparrowii
Acremonium fuci
Acroloxus lacustris
Acrostichus floridensis
Acrotrichis montandonii
Acrotrichis sitkaensis
Adela reaumurella
Adenocalymma biternatum
Adineta barbata
Adineta beysunae
Adineta steineri
Adineta vaga
Agabus bipustulatus
Agabus didymus
Agabus guttatus
Agabus paludosus
Agabus undulatus
Agapetus fuscipes
Agapetus ochripes
Agonum gracile
Agraylea multipunctata
Agriopis aurantiaria
Agriotes lineatus
Agriphila straminella
Agrochola circellaris
Agrochola macilenta
Agrypnia pagetana
Allacma fusca
Allium cepa
Allolobophora chlorotica
Alternaria alternata
Amanita brunnescens
Amara similata
Ameronothrus maculatus
Amphichaeta raptisae
Ampullaceana balthica
Anabolia furcata
Anabolia laevis
Anacaena globulus
Anas platyrhynchos
Anatopynia plumipes
Anax imperator
Ancylostoma ceylanicum
Ancylus fluviatilis
Andalucia godoyi
Anisus spirorbis
Anisus vortex
Anodonta anatina
Anodonta cygnea
Anopheles dirus
Anopheles lindesayi
Anopheles sinensis
Anopheles triannulatus
Anoplotrupes stercorosus
Anotylus sculpturatus
Anthomyza anderssoni
Anthophila fabriciana
Anurida granaria
Anurophorus laricis
Aphanomyces astaci
Aphanomyces invadans
Aphanomyces iridis
Aphanomyces laevis
Aphelenchoides paradalianensis
Aphis fabae
Apion frumentarium
Apis mellifera
Aplexa hypnorum
Apodachlya brachynema
Apodachlya minima
Apodachlya pirifera
Aporrectodea caliginosa
Aporrectodea cupulifera
Aporrectodea limicola
Aporrectodea longa
Aporrectodea rosea
Araneus sturmi
Argyresthia albistria
Arion ater
Arion distinctus
Arion fasciatus
Arion intermedius
Arion silvaticus
Arion subfuscus
Arion vulgaris
Armadillidium vulgare
Armiger crista
Armillaria gallica
Arrenurus refractariolus
Arthothelium ruanum
Arthrinium arundinis
Arthrocladium fulminans
Articulospora atra
Articulospora tetracladia
Arvicola amphibius
Ascomorpha ecaudis
Asellus aquaticus
Aspergillus terreus
Asplanchna sieboldi
Asterionella formosa
Asterionellopsis tropicalis
Athripsodes cinereus
Atomaria rubella
Attheyella crassa
Augyles intermedius
Aulodrilus pluriseta
Austrosciara hyalipennis
Austrosciara lutea
Bactericera albiventris
Baetis rhodani
Baetis vernus
Batrachedra praeangusta
Batrachospermum cayennense
Batrachospermum gelatinosum
Beauveria bassiana
Beris fuscipes
Betula papyrifera
Bezzia annulipes
Bezzia bicolor
Bibio longipes
Bibio marci
Bibio xanthopus
Bilobella braunerae
Bipolaris sorokiniana
Bithynia leachii
Bithynia tentaculata
Boccardia pugettensis
Boettgerilla pallens
Boletina palmata
Bombylius major
Boreoiulus tenuis
Bothrioneurum vejdovskyanum
Botryococcus braunii
Botryosphaeria kuwatsukai
Bourletiella arvalis
Brachionus calyciflorus
Brachionus urceolaris
Brachydesmus superus
Brachyiulus pusillus
Brachytron pratense
Bradleystrandesia reticulata
Bradysia fungicola
Bradysia polonica
Bradysia urticae
Brassica juncea
Brevilegnia macrospora
Brillia bifida
Brunfelsia densifolia
Buchholzia appendiculata
Bursaphelenchus debrae
Bursaphelenchus rufipennis
Byrrhus pilula
Cacopsylla melanoneura
Cacopsylla peregrina
Caenis horaria
Caenis robusta
Cafeteria roenbergensis
Cairina moschata
Calonectria colhounii
Campaea margaritaria
Campylomyza flavipes
Candona candida
Candona neglecta
Canthocamptus staphylinus
Carabodes labyrinthicus
Carabus coriaceus
Carabus granulatus
Carabus nemoralis
Castilleja paramensis
Centranthus ruber
Centroptilum luteolum
Cepaea hortensis
Cepaea nemoralis
Ceraclea senilis
Ceratophysella bengtssoni
Ceratophysella denticulata
Cerebratulus longiceps
Cernosvitoviella aggtelekiensis
