group,family,genus,species
Coleoptera,Haliplidae,Haliplus,Haliplus
Chironomidae,Chironomini,Microtendipes,Microtendipes
Gastropoda,Hydrobiidae,Potamopyrgus,Potamopyrgus antipodarum
Isopoda,Asellidae,Asellus,Asellus aquaticus
Hirudinea,Erpobdellidae,Erpobdella,Erpobdella octoculata
Gastropoda,Lymnaeidae,Radix,Radix balthica
Amphipoda,Gammaridae,Gammarus,Gammarus lacustris
Amphipoda,Gammaridae,Gammarus,Gammarus pulex
Hirudinea,Glossiphoniidae,Glossiphonia,Glossiphonia complanata
Oligochaeta,Tubificidae,Tubificidae,Naididae
Oligochaeta,Tubificidae,Tubificidae,Tubificidae
Hirudinea,Glossiphoniidae,Hemiclipsis,Hemiclipsis marginata
Ostracoda,Ostracoda,Ostracoda,Ostracoda
Coleoptera,Elmidae,Elmis,Elmis aenea
Megaloptera,Sialidae,Sialis,Sialis lutaria
Trichoptera,Leptoceridae,Athripsodes,Athripsodes aterrimus
Trichoptera,Limnephilini,Limnephilus,Limnephilus rhombicus
Diptera,Ceratopogonidae,Ceratopogonidae,Ceratopogonidae
Chironomidae,Tanypodinae,Procladius,Procladius
Gastropoda,Bithyniidae,Bithynia,Bithynia tentaculata
Gastropoda,Physidae,Physa,Physa fontinalis
Bivalvia,Sphaeriidae,Pisidium,Pisidium
Bivalvia,Sphaeriidae,Sphaerium,Sphaerium corneum
Oligochaeta,Lumbriculidae,Lumbriculus,Lumbriculus variegatus
Chironomidae,Tanypodinae,Apsectrotanypus,Apsectrotanypus trifascipennis
Chironomidae,Tanypodinae,Macropelopia,Macropelopia
Chironomidae,Tanytarsini,Micropsectra,Micropsectra
Heteroptera,Corixidae,Sigara,Sigara
Trichoptera,Limnephilini,Limnephilus,Limnephilus extricatus
Coleoptera,Dytiscidae,Dytiscidae,Colymbetinae
Diptera,Tipulidae,Tipula,Tipula
Gastropoda,Lymnaeidae,Lymnaea,Lymnaea stagnalis
Gastropoda,Planorbidae,Planorbarius,Planorbarius corneus
Hirudinea,Glossiphoniidae,Helobdella,Helobdella stagnalis
Hydracarina,Hydracarina,Hydracarina,Hydracarina
Chironomidae,Chironomini,Polypedilum,Polypedilum
Trichoptera,Limnephilidae,Limnephilidae,Limnephilidae
Trichoptera,Limnephilini,Limnephilus,Limnephilus lunatus
Chironomidae,Orthocladiinae,Orthocladius,Orthocladius
Trichoptera,Stenophylachini,Chaetopteryx,Chaetopteryx villosa
Coleoptera,Hydroporinae,Nebrioporus,Nebrioporus depressus
Tricladida,Tricladida,Dugesia,Dugesia
Tricladida,Tricladida,Polycelis,Polycelis
Trichoptera,Limnephilini,Anabolia,Anabolia furcata
Oligochaeta,Tubificidae,Stylaria,Stylaria lacustris
Chironomidae,Chironomini,Dicrotendipes,Dicrotendipes
Ephemeroptera,Baetidae,Cloeon,Cloeon dipterum
Heteroptera,Corixidae,Hesperocorixa,Hesperocorixa sahlbergi
Chironomidae,Chironomini,Chironomus,Chironomus riparius
Heteroptera,Corixidae,Corixa,Corixa punctata
Oligochaeta,Lumbricidae,Eiseniella,Eiseniella tetraedra
Chironomidae,Orthocladiinae,Rheocricotopus,Rheocricotopus fuscipes
Chironomidae,Tanypodinae,Conchapelopia,Conchapelopia
Chironomidae,Diamesinae,Prodiamesa,Prodiamesa olivacea
Chironomidae,Orthocladiinae,Orthocladiinae,Orthocladiinae
Chironomidae,Chironomini,Chironomini,Chironomini
Nematoda,Nematoda,Nematoda,Nematoda
Heteroptera,Corixidae,Sigara,Sigara falleni
Diptera,Psychodidae,Psychoda,Psychoda
Gastropoda,Lymnaeidae,Stagnicola,Stagnicola palustris
Gastropoda,Planorbidae,Anisus,Anisus vortex
Gastropoda,Valvatidae,Valvata,Valvata macrostoma
Tricladida,Tricladida,Dendrocoelum,Dendrocoelum lacteum
Hirudinea,Erpobdellidae,Erpobdella,Erpobdella
Trichoptera,Stenophylachini,Halesus,Halesus radiatus
Diptera,Simuliidae,Simulium,Simulium erythrocephalum
Diptera,Simuliidae,Simulium,Simulium lundstromi
Diptera,Simuliidae,Odagmia,Simulium 
Trichoptera,Molannidae,Molanna,Molanna angustata
Gastropoda,Planorbidae,Planorbis,Planorbis planorbis
